sudokuid: 0, boxid: 0, cellid: 0, value:1
sudokuid: 0, boxid: 0, cellid: 1, value:6
sudokuid: 2, boxid: 1, cellid: 0, value:8
sudokuid: 2, boxid: 1, cellid: 1, value:2
sudokuid: 0, boxid: 0, cellid: 5, value:2
sudokuid: 2, boxid: 1, cellid: 2, value:3
sudokuid: 3, boxid: 0, cellid: 0, value:9
sudokuid: 0, boxid: 0, cellid: 6, value:3
sudokuid: 2, boxid: 1, cellid: 3, value:9
sudokuid: 3, boxid: 0, cellid: 1, value:1
sudokuid: 2, boxid: 1, cellid: 4, value:6
sudokuid: 0, boxid: 0, cellid: 7, value:8
sudokuid: 3, boxid: 0, cellid: 5, value:3
sudokuid: 3, boxid: 0, cellid: 6, value:5
sudokuid: 0, boxid: 1, cellid: 1, value:9
sudokuid: 3, boxid: 0, cellid: 7, value:4
sudokuid: 2, boxid: 1, cellid: 5, value:7
sudokuid: 2, boxid: 1, cellid: 6, value:5
sudokuid: 0, boxid: 1, cellid: 2, value:8
sudokuid: 3, boxid: 1, cellid: 1, value:3
sudokuid: 1, boxid: 0, cellid: 0, value:7
sudokuid: 2, boxid: 1, cellid: 8, value:4
sudokuid: 3, boxid: 1, cellid: 2, value:6
sudokuid: 0, boxid: 1, cellid: 3, value:5
sudokuid: 2, boxid: 2, cellid: 1, value:9
sudokuid: 1, boxid: 0, cellid: 1, value:3
sudokuid: 1, boxid: 0, cellid: 5, value:8
sudokuid: 3, boxid: 1, cellid: 3, value:7
sudokuid: 0, boxid: 1, cellid: 5, value:3
sudokuid: 2, boxid: 2, cellid: 3, value:3
sudokuid: 1, boxid: 0, cellid: 6, value:5
sudokuid: 2, boxid: 2, cellid: 5, value:4
sudokuid: 1, boxid: 0, cellid: 7, value:6
sudokuid: 2, boxid: 2, cellid: 6, value:8
sudokuid: 3, boxid: 1, cellid: 5, value:9
sudokuid: 2, boxid: 2, cellid: 8, value:7
sudokuid: 0, boxid: 1, cellid: 6, value:2
sudokuid: 1, boxid: 1, cellid: 1, value:4
sudokuid: 2, boxid: 3, cellid: 0, value:3
sudokuid: 1, boxid: 1, cellid: 2, value:8
sudokuid: 2, boxid: 3, cellid: 1, value:9
sudokuid: 0, boxid: 1, cellid: 7, value:1
sudokuid: 3, boxid: 1, cellid: 6, value:1
sudokuid: 1, boxid: 1, cellid: 3, value:7
sudokuid: 3, boxid: 1, cellid: 7, value:2
sudokuid: 0, boxid: 2, cellid: 0, value:4
sudokuid: 1, boxid: 1, cellid: 5, value:2
sudokuid: 2, boxid: 3, cellid: 2, value:2
sudokuid: 3, boxid: 3, cellid: 0, value:3
sudokuid: 0, boxid: 2, cellid: 2, value:3
sudokuid: 1, boxid: 1, cellid: 6, value:3
sudokuid: 2, boxid: 3, cellid: 3, value:8
sudokuid: 1, boxid: 1, cellid: 7, value:9
sudokuid: 2, boxid: 3, cellid: 4, value:7
sudokuid: 0, boxid: 2, cellid: 3, value:8
sudokuid: 3, boxid: 3, cellid: 1, value:9
sudokuid: 1, boxid: 2, cellid: 0, value:1
sudokuid: 0, boxid: 2, cellid: 5, value:7
sudokuid: 2, boxid: 3, cellid: 6, value:5
sudokuid: 0, boxid: 2, cellid: 7, value:5
sudokuid: 1, boxid: 2, cellid: 2, value:5
sudokuid: 3, boxid: 3, cellid: 3, value:2
sudokuid: 2, boxid: 3, cellid: 7, value:1
sudokuid: 3, boxid: 3, cellid: 5, value:1
sudokuid: 2, boxid: 3, cellid: 8, value:4
sudokuid: 1, boxid: 2, cellid: 3, value:6
sudokuid: 0, boxid: 3, cellid: 0, value:9
sudokuid: 2, boxid: 4, cellid: 1, value:7
sudokuid: 0, boxid: 3, cellid: 1, value:4
sudokuid: 0, boxid: 3, cellid: 3, value:8
sudokuid: 3, boxid: 3, cellid: 7, value:7
sudokuid: 2, boxid: 4, cellid: 3, value:3
sudokuid: 1, boxid: 2, cellid: 5, value:9
sudokuid: 3, boxid: 3, cellid: 8, value:4
sudokuid: 1, boxid: 2, cellid: 7, value:4
sudokuid: 2, boxid: 4, cellid: 5, value:1
sudokuid: 3, boxid: 4, cellid: 0, value:4
sudokuid: 0, boxid: 3, cellid: 5, value:3
sudokuid: 2, boxid: 4, cellid: 7, value:9
sudokuid: 1, boxid: 3, cellid: 0, value:9
sudokuid: 0, boxid: 3, cellid: 7, value:5
sudokuid: 3, boxid: 4, cellid: 1, value:5
sudokuid: 1, boxid: 3, cellid: 1, value:7
sudokuid: 1, boxid: 3, cellid: 3, value:2
sudokuid: 0, boxid: 3, cellid: 8, value:1
sudokuid: 2, boxid: 5, cellid: 0, value:5
sudokuid: 2, boxid: 5, cellid: 1, value:8
sudokuid: 1, boxid: 3, cellid: 5, value:1
sudokuid: 3, boxid: 4, cellid: 2, value:1
sudokuid: 0, boxid: 4, cellid: 0, value:3
sudokuid: 0, boxid: 4, cellid: 1, value:5
sudokuid: 2, boxid: 5, cellid: 2, value:1
sudokuid: 0, boxid: 4, cellid: 2, value:2
sudokuid: 3, boxid: 4, cellid: 3, value:3
sudokuid: 2, boxid: 5, cellid: 4, value:4
sudokuid: 1, boxid: 3, cellid: 7, value:8
sudokuid: 1, boxid: 3, cellid: 8, value:6
sudokuid: 2, boxid: 5, cellid: 5, value:9
sudokuid: 3, boxid: 4, cellid: 4, value:8
sudokuid: 0, boxid: 4, cellid: 3, value:6
sudokuid: 1, boxid: 4, cellid: 0, value:5
sudokuid: 2, boxid: 5, cellid: 6, value:7
sudokuid: 3, boxid: 4, cellid: 5, value:7
sudokuid: 4, boxid: 1, cellid: 1, value:4
sudokuid: 3, boxid: 4, cellid: 6, value:6
sudokuid: 4, boxid: 1, cellid: 2, value:3
sudokuid: 2, boxid: 5, cellid: 7, value:3
sudokuid: 0, boxid: 4, cellid: 4, value:4
sudokuid: 1, boxid: 4, cellid: 1, value:8
sudokuid: 1, boxid: 4, cellid: 2, value:6
sudokuid: 2, boxid: 5, cellid: 8, value:6
sudokuid: 4, boxid: 1, cellid: 3, value:1
sudokuid: 0, boxid: 4, cellid: 5, value:1
sudokuid: 3, boxid: 4, cellid: 7, value:9
sudokuid: 4, boxid: 1, cellid: 5, value:7
sudokuid: 0, boxid: 4, cellid: 6, value:8
sudokuid: 3, boxid: 4, cellid: 8, value:2
sudokuid: 1, boxid: 4, cellid: 3, value:4
sudokuid: 2, boxid: 6, cellid: 0, value:4
sudokuid: 3, boxid: 5, cellid: 0, value:7
sudokuid: 1, boxid: 4, cellid: 4, value:3
sudokuid: 0, boxid: 4, cellid: 7, value:7
sudokuid: 2, boxid: 6, cellid: 2, value:7
sudokuid: 4, boxid: 1, cellid: 6, value:6
sudokuid: 4, boxid: 1, cellid: 7, value:5
sudokuid: 0, boxid: 4, cellid: 8, value:9
sudokuid: 1, boxid: 4, cellid: 5, value:9
sudokuid: 2, boxid: 6, cellid: 3, value:1
sudokuid: 3, boxid: 5, cellid: 1, value:8
sudokuid: 2, boxid: 6, cellid: 5, value:8
sudokuid: 1, boxid: 4, cellid: 6, value:1
sudokuid: 0, boxid: 5, cellid: 0, value:1
sudokuid: 4, boxid: 2, cellid: 0, value:7
sudokuid: 3, boxid: 5, cellid: 3, value:6
sudokuid: 4, boxid: 2, cellid: 2, value:2
sudokuid: 2, boxid: 6, cellid: 7, value:6
sudokuid: 1, boxid: 4, cellid: 7, value:2
sudokuid: 0, boxid: 5, cellid: 1, value:7
sudokuid: 3, boxid: 5, cellid: 5, value:9
sudokuid: 0, boxid: 5, cellid: 3, value:5
sudokuid: 4, boxid: 2, cellid: 3, value:8
sudokuid: 2, boxid: 7, cellid: 0, value:6
sudokuid: 3, boxid: 5, cellid: 7, value:1
sudokuid: 1, boxid: 4, cellid: 8, value:7
sudokuid: 1, boxid: 5, cellid: 0, value:4
sudokuid: 2, boxid: 7, cellid: 2, value:9
sudokuid: 0, boxid: 5, cellid: 5, value:2
sudokuid: 4, boxid: 2, cellid: 5, value:4
sudokuid: 3, boxid: 5, cellid: 8, value:5
sudokuid: 1, boxid: 5, cellid: 1, value:1
sudokuid: 2, boxid: 7, cellid: 3, value:7
sudokuid: 3, boxid: 6, cellid: 1, value:8
sudokuid: 0, boxid: 5, cellid: 7, value:6
sudokuid: 4, boxid: 2, cellid: 7, value:3
sudokuid: 4, boxid: 3, cellid: 0, value:3
sudokuid: 0, boxid: 5, cellid: 8, value:4
sudokuid: 1, boxid: 5, cellid: 3, value:8
sudokuid: 3, boxid: 6, cellid: 3, value:4
sudokuid: 2, boxid: 7, cellid: 4, value:4
sudokuid: 4, boxid: 3, cellid: 1, value:4
sudokuid: 3, boxid: 6, cellid: 5, value:9
sudokuid: 2, boxid: 7, cellid: 5, value:2
sudokuid: 0, boxid: 6, cellid: 1, value:3
sudokuid: 1, boxid: 5, cellid: 5, value:7
sudokuid: 2, boxid: 7, cellid: 6, value:1
sudokuid: 3, boxid: 6, cellid: 6, value:7
sudokuid: 0, boxid: 6, cellid: 3, value:6
sudokuid: 4, boxid: 3, cellid: 3, value:6
sudokuid: 1, boxid: 5, cellid: 7, value:9
sudokuid: 3, boxid: 6, cellid: 8, value:2
sudokuid: 4, boxid: 3, cellid: 5, value:5
sudokuid: 2, boxid: 7, cellid: 7, value:8
sudokuid: 1, boxid: 5, cellid: 8, value:3
sudokuid: 0, boxid: 6, cellid: 5, value:9
sudokuid: 1, boxid: 7, cellid: 1, value:1
sudokuid: 2, boxid: 7, cellid: 8, value:5
sudokuid: 3, boxid: 7, cellid: 1, value:7
sudokuid: 4, boxid: 3, cellid: 7, value:2
sudokuid: 0, boxid: 6, cellid: 6, value:7
sudokuid: 0, boxid: 6, cellid: 8, value:4
sudokuid: 4, boxid: 3, cellid: 8, value:9
sudokuid: 2, boxid: 8, cellid: 0, value:1
sudokuid: 1, boxid: 7, cellid: 2, value:3
sudokuid: 3, boxid: 7, cellid: 2, value:4
sudokuid: 4, boxid: 4, cellid: 0, value:5
sudokuid: 2, boxid: 8, cellid: 1, value:5
sudokuid: 3, boxid: 7, cellid: 3, value:2
sudokuid: 1, boxid: 7, cellid: 3, value:2
sudokuid: 0, boxid: 7, cellid: 1, value:2
sudokuid: 4, boxid: 4, cellid: 1, value:7
sudokuid: 3, boxid: 7, cellid: 5, value:5
sudokuid: 1, boxid: 7, cellid: 5, value:5
sudokuid: 2, boxid: 8, cellid: 5, value:3
sudokuid: 0, boxid: 7, cellid: 2, value:6
sudokuid: 2, boxid: 8, cellid: 6, value:4
sudokuid: 1, boxid: 7, cellid: 6, value:9
sudokuid: 3, boxid: 7, cellid: 6, value:8
sudokuid: 0, boxid: 7, cellid: 3, value:4
sudokuid: 4, boxid: 4, cellid: 2, value:2
sudokuid: 2, boxid: 8, cellid: 7, value:7
sudokuid: 0, boxid: 7, cellid: 5, value:7
sudokuid: 1, boxid: 7, cellid: 7, value:6
sudokuid: 4, boxid: 4, cellid: 3, value:4
sudokuid: 3, boxid: 7, cellid: 7, value:1
sudokuid: 3, boxid: 8, cellid: 1, value:3
sudokuid: 4, boxid: 4, cellid: 4, value:1
sudokuid: 1, boxid: 8, cellid: 1, value:7
sudokuid: 0, boxid: 7, cellid: 6, value:1
sudokuid: 4, boxid: 4, cellid: 5, value:9
sudokuid: 3, boxid: 8, cellid: 2, value:6
sudokuid: 1, boxid: 8, cellid: 2, value:4
sudokuid: 0, boxid: 7, cellid: 7, value:8
sudokuid: 1, boxid: 8, cellid: 3, value:9
sudokuid: 4, boxid: 4, cellid: 6, value:8
sudokuid: 3, boxid: 8, cellid: 3, value:8
sudokuid: 0, boxid: 8, cellid: 1, value:4
sudokuid: 0, boxid: 8, cellid: 2, value:1
sudokuid: 1, boxid: 8, cellid: 7, value:5
sudokuid: 3, boxid: 8, cellid: 7, value:9
sudokuid: 4, boxid: 4, cellid: 7, value:3
sudokuid: 4, boxid: 4, cellid: 8, value:6
sudokuid: 1, boxid: 8, cellid: 8, value:1
sudokuid: 3, boxid: 8, cellid: 8, value:4
sudokuid: 0, boxid: 8, cellid: 3, value:2
sudokuid: 4, boxid: 5, cellid: 0, value:9
sudokuid: 0, boxid: 8, cellid: 7, value:3
sudokuid: 0, boxid: 8, cellid: 8, value:9
sudokuid: 4, boxid: 5, cellid: 1, value:8
sudokuid: 4, boxid: 5, cellid: 3, value:3
sudokuid: 4, boxid: 5, cellid: 5, value:7
sudokuid: 4, boxid: 5, cellid: 7, value:4
sudokuid: 4, boxid: 5, cellid: 8, value:1
sudokuid: 4, boxid: 6, cellid: 1, value:1
sudokuid: 4, boxid: 6, cellid: 3, value:5
sudokuid: 4, boxid: 6, cellid: 5, value:4
sudokuid: 4, boxid: 6, cellid: 6, value:8
sudokuid: 4, boxid: 6, cellid: 8, value:7
sudokuid: 4, boxid: 7, cellid: 1, value:8
sudokuid: 4, boxid: 7, cellid: 2, value:5
sudokuid: 4, boxid: 7, cellid: 3, value:2
sudokuid: 4, boxid: 7, cellid: 5, value:1
sudokuid: 4, boxid: 7, cellid: 6, value:3
sudokuid: 4, boxid: 7, cellid: 7, value:6
sudokuid: 4, boxid: 8, cellid: 1, value:9
sudokuid: 4, boxid: 8, cellid: 2, value:3
sudokuid: 4, boxid: 8, cellid: 3, value:6
sudokuid: 4, boxid: 8, cellid: 7, value:1
sudokuid: 4, boxid: 8, cellid: 8, value:5
